oneThroughTwenty();" ";;;;;;
cont;i;i <= 20;cont.push(i);i++;return cont;;
[];1;1<=20 = TRUE;cont.push(1);1+1=2;-;;
[1];2;2<=20 = TRUE;cont.push(2);2+1=3;-;;
[1,2];3;3<=20 = TRUE;cont.push(3);3+1=4;-;;
[1,2,3];4;4<=20 = TRUE;cont.push(4);4+1=5;-;;
[1,2,3,4];;;;;;;
[1,2,3,4,...,20];21;21<=20 = FALSE;-;-;return cont [1,2,3,4,...,20];;
;;;;;;;
evensToTwenty();;;;;;;
cont;i;i<=20;if(i % 2 ===0);cont.push(i);i++;return cont;
[];1;1<=20 => TRUE;1 % 2 === 0 => FALSE;-;1+1=2;-;
[];2;2<=20 => TRUE;2 % 2 === 0 => TRUE;cont.push(2);2+1=3;-;
[2];3;3<=20 => TRUE;3 % 2 === 0 => FALSE;-;3+1=4;-;
[2];4;4<=20 => TRUE;4 % 2 === 0 => TRUE;cont.push(4);4+1=5;-;
[2,4];5;5<=20 => TRUE;5 % 2 === 0 => FALSE;-;5+1=6;-;
[2,4];6;6<=20 => TRUE;6 % 2 === 0 => TRUE;cont.push(6);6+1=7;-;
[2,4,6];7;7<=20 => TRUE;7 % 2 === 0 => FALSE;-;7+1=8;-;
[2,4,6];;;;;;;
[2,4,6,...,20];21;21<=20 => FALSE;-;-;-;return cont[2,4,6,...,20];
;;;;;;;
oddsToTwenty();;;;;;;
cont;i;i<=20;if(i % 2 != 0);cont.push(i);i++;return cont;
[];1;1<=20 => TRUE;1 % 2 != 0 => TRUE;cont.push(1);1+1=2;-;
[1];2;2<=20 => TRUE;2 % 2 != 0 => FALSE;-;2+1=3;-;
[1];3;3<=20 => TRUE;3 % 2 != 0 => TRUE;cont.push(3);3+1=4;-;
[1,3];4;4<=20 => TRUE;4 % 2 != 0 => FALSE;-;4+1=5;-;
[1,3];5;5<=20 => TRUE;5 % 2 != 0 => TRUE;cont.push(5);5+1=6;-;
[1,3,5];6;6<=20 => TRUE;6 % 2 != 0 => FALSE;-;6+1=7;-;
[1,3,5];7;7<=20 => TRUE;7 % 2 != 0 => TRUE;cont.push(7);7+1=8;-;
[1,3,5,7];;;;;;;
[1,3,5,7,...,19];21;21<=20 => FALSE;-;-;-;return cont[1,3,5,7,...,19];
;;;;;;;
multiplesOfFive();;;;;;;
cont;i;i<=100;if(i % 5 === 0);cont.push(i);i++;return cont;
[];1;1<=100 => TRUE;1 % 5 === 0 => FALSE;-;1+1=2;-;
[];2;2<=100 => TRUE;2 % 5 === 0 => FALSE;-;2+1=3;-;
[];3;3<=100 => TRUE;3 % 5 === 0 => FALSE;-;3+1=4;-;
[];4;4<=100 => TRUE;4 % 5 === 0 => FALSE;-;4+1=5;-;
[];5;5<=100 => TRUE;5 % 5 === 0 => TRUE;cont.push(5);5+1=6;-;
[5];6;6<=100 => TRUE;6 % 5 === 0 => FALSE;-;6+1=7;-;
[5];7;7<=100 => TRUE;7 % 5 === 0 => FALSE;-;7+1=8;-;
[5];8;8<=100 => TRUE;8 % 5 === 0 => FALSE;-;8+1=9;-;
[5];9;9<=100 => TRUE;9 % 5 === 0 => FALSE;-;9+1=10;-;
[5];10;10<=100 => TRUE;10 % 5 === 0 => TRUE;cont.push(10);10+1=11;-;
[5,10];11;11<=100 => TRUE;11 % 5 === 0 => FALSE;-;11+1=12;-;
[5,10];;;;;;;
[5,10,...,100];101;101<=100 => FALSE;-;-;-;return cont[5,10,...,100];
;;;;;;;
squareNumbers();;;;;;;
cont;aux;i;aux<100;aux = i * i;cont.push(aux);i++;return cont
[];0;1;0<100 => TRUE;1*1 => 1;cont.push(1);1+1 = 2;-
[1];1;2;1<100 => TRUE;2*2 => 4;cont.push(4);2+1 = 3;-
[1,4];4;3;4<100 => TRUE;3*3 => 9;cont.push(9);3+1 = 4;-
[1,4,9];9;4;9<100 => TRUE;4*4 => 16;cont.push(16);4+1 = 5;-
[1,4,9,16];16;5;16<100 => TRUE;5*5 => 25;cont.push(25);5+1 = 6;-
[1,4,9,16,25];;;;;;;
[1,4,9,16,25,...,100];100;11;100<100 => FALSE;-;-;-;return cont[1,4,9,16,25,...,100]
;;;;;;;